[2024-05-09 07:17:15,896] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='connect-offsets', numPartitions=25, replicationFactor=1, assignments=[], configs=[CreateableTopicConfig(name='cleanup.policy', value='compact')]): TOPIC_ALREADY_EXISTS (Topic 'connect-offsets' already exists.) (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,753] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-31 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,753] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-32 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,753] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-33 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,753] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-34 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,753] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-35 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,754] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-36 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,754] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-37 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,754] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-38 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,754] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-39 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,754] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-40 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
